L.P		KLUB/SPONSOR	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	GRUPA	M/K	TOP	BONUS
92	Krzysztof Sas-Nowosielski	Azs awf Katowice/Evolv	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	b		b	b	t	Weteran	M	16	19
116	Sebastian Dudek	Joga dla wspinaczy	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t						Weteran	M	15	15
114	Piotr Niźnik	Bwk	t	t	t	t	t	t	b	t	t	t	t	t		t	t	b					Junior	M	13	15
132	Waldemar Podhajny	Kw-Gliwice	t	t	t	t	t	t	t	t	t	t			t			t					Weteran	M	12	12
3	Karol Herlinger	Primaroca	t	t	t	t	t	t	t	t	t	t	t										Lajt	M	11	11
39	Michał Hajduczek	Cw Cechownia						t	t	t	t	t	t	t	t	t	t				b	t	Trudna	M	11	11
52	Aleksnder Dobkowski	Sw Kw Katowice	t	t	t	t	t	t	t	t	t	t				t	b						Lajt	M	11	11
62	Grzegorz Mróz		t	t	t	t	t	t	t	t	t	t			b		t						Lajt	M	11	11
67	Robert Tereszczyk	Cw Cechownia						t	t	t	t	t	t	t	t	t	t				t	t	Trudna	M	11	10
90	Daria Brylova	Ks Korona/Heartbeat/Eb	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t					Trudna	K	11	10
103	Łukasz Filar	Cw Cechownia	t	t	t	t	t	t	t	t	t	t	b			b	t						Lajt	M	11	11
104	Marlena Abram	Kw Kce/Fari climb	t	t	t	t	t	t	t	t	t	t	t										Lajt	K	11	11
19	Błażej Bodynek	CSC Adventure	t	t	t	t	t	t	t	t	t	t			b		b						Lajt	M	10	11
20	Adam Mach 	Mtidea.pl Skarpa Bytom											t	t	t	t	t	t	t	t	t	t	Pro	M	10	10
29	Tomasz Kłosek	CW Transformator	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t				b		Trudna	M	10	11
30	Jakub Pierchała	CW Cechownia						t	t	t	t	t	t	t	t	t	t						Trudna	M	10	10
37	Wojtek Natanek	Sw Kw Katowice	t	t	t	t	t	t	t	t	t	t				b							Lajt	M	10	11
47	Piotr Ćwiąkała	Kw Jastrzębie	t	t	t	t	t	t	t	t	b	t	t			b	b						Weteran	M	10	13
54	Asia Koperwas							t	t	t	t	t	t	t	t	t	t						Trudna	K	10	10
56	Marek Zemanek	Prima Roca Drink Team	t	t	t	t	t	t	t	t	t	t											Lajt	M	10	10
61	Patryk Gracz		t	t	t	t	t	t	t	t	t	t				b							Lajt	M	10	11
81	Paweł Pośpiech	Trafo						t	t	t	t	t	t	t	t	t	t				b		Trudna	K	10	11
82	Kacper Matuszak	Salewa Block	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t				b		Trudna	M	10	11
95	Dominika Sołtys	Orholds						t	t	t	t	t	t	t	t	t	t				b		Trudna	K	10	11
99	Piotr Mierzejewski	FFK					t	t	t	t	t	t	t	t	t	t	t				b		Trudna	M	10	10
128	Hanna Piętkowska		t	t	t	t	t	t	t	t	b	t					t						Weteran	K	10	11
2	Wiktoria Dymińska	CSC	t	t	t	t	t	t	t		t	t											Lajt	K	9	9
7	Damian Węgrzyniak	Climb Team Gogolin						t	t	t	t	t	t	t	b	t	t						Trudna	M	9	10
9	Radosław Kielar	Bełchatowski KW						t	t	t	t	t	t	b	t	t	t						Trudna	M	9	10
35	Leonia Zając	Primaroca						t	t	t	t	t	t	b	t	t	t						Trudna	k	9	10
38	Piota Robakowski	Cw Cechownia Rybnik						t	t	t	t	t	t	b	t	t	t						Trudna	M	9	10
40	Paweł Kos	Kw Katowice	t	t	t	t	t	t	t	t	b	t											Lajt	M	9	10
51	 Maciej Swędzioł	Poziom 450						t	t	t	t	t	t	b	t	t	t				b		Trudna	M	9	11
58	Amanda Swat	Salewa Block	t	t	t	t	t	t	t	t	b	t											Lajt	K	9	10
59	Kuba Wybieralski	Languagelab.com.pl						t	t	t	t	t	t	b	t	t	t						Trudna	M	9	10
63	Bianka Janecka	witchholds	t	t	t	t	t	t	t	t	b	t				b							Junior	K	9	11
74	Krzysztof Roza	Masakra	t	t	t	t	t	t	t	t		t											Lajt	M	9	9
76	Zbyszek Bardel	Rl Baltoro											t	t	t	t	t	t	t	b	t	t	Pro	M	9	10
78	Aleksnder Olszok	Salewa Block						t	t	t	t	t	t	b	t	t	t						Trudna	M	9	10
