L.P		KLUB/SPONSOR	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	GRUPA	M/K	TOP	BONUS
104	Wiktor Olszowski	CW TRANSFORMATOR	t	t	t	t	t	t	b	t	t	t											Junior	M	9	10
61	Aleksander Dobkowski	KW KATOWICE	t	t	t	t	t	t	t	b	t	t		b									Lajt	M	9	11
62	Grzegorz Mróz		t	t	t	t	t	t	t	b	t	t											Lajt	M	9	10
63	Artur Zając		t	t	t	t	t	t	t	b	t	t											Lajt	M	9	10
64	Wojtek Natanek	KW KATOWICE	t	t	t	t	t	t	t		t	t											Lajt	M	9	9
66	Karol Herlinger	Primarocka DRINK TEAM	t	t	t	t	t	t	t		t	t											Lajt	M	9	9
67	Mateusz Zając	KW KATOWICE	t	t	t	t	t	b	t	b	t	t											Lajt	M	8	10
68	Paweł Piaskowy	Salewa Block	t	t	t	t	t	b	t	b	t	t											Lajt	M	8	10
69	Konrad Kołodziej	KW KATOWICE	t	t	t	t	t	t	b	b	t	t											Lajt	M	8	10
70	Michał paulo		t	t	t	t	t	b	t	b	t	t											Lajt	M	8	10
71	Mateusz Kornecki	Sparta betlejem	t	t	t	t	t	b	t		t	t											Lajt	M	8	9
72	łukasz Filar	CW CECHOWNIA	t	t	t	t	t		t	b	t	t											Lajt	M	8	9
73	Patryk Gracz		t	t	t	t	t	t	t			t											Lajt	M	8	8
74	Dorian Starczewski	KW CZESTOCHOWA	t	t	t	t	t	t	t			t											Lajt	M	8	8
75	Paweł Pierzchała	Sparta Betlejem	t	t	t	t	t	t			t	t											Lajt	M	8	8
76	Rafał Urbańczyk	KW KATOWICE	t	t	t	t	t		b	b	t	t											Lajt	M	7	9
77	Mariusz Sosna		t	t	t	t	t		t	b		t											Lajt	M	7	8
78	Marcin Kurdek	CW TRANSFORMATOR	t	t	t	t	t	t	b			t											Lajt	M	7	8
79	Krzysztof Wysocki	Mystic Climb	t	t	t	t	t		t			t											Lajt	M	7	7
80	Nikodem Balon		t	t	t	t	b	t	t	b													Lajt	M	6	8
81	Klaudia Kandzia		t	t	t	t	t		b		b	t											Lajt	K	6	8
81	Tomasz Hansel	KW KATOWICE	t	t	t	t	t		b			t											Lajt	M	6	7
82	Michał Koloch		t	t	t	t	t		b			t											Lajt	M	6	7
83	Sławomir Kowal	PETZL FISHING TEAM	t	t	t	t	t					t											Lajt	M	6	6
84	Maciej Brecha		t	b	t	t	t		b	b	b	t											Lajt	M	5	9
85	Mateusz Jagoda 	CSC ADVENTURE ACADEMY	t	t	t	b	t				b	t											Lajt	M	5	7
86	Kamil Pala	KW CZESTOCHOWA	t	t	t		b	t				t											Lajt	M	5	6
87	Tomek Krakowski	KW TORUŃ	t	t	t		t					b											Lajt	M	4	5
88	Piotr Trojnar	Salewa Block	t	t	t	b	t	b	b	b	b	b											Lajt	M	4	10
